"Дата","Курс доллара в рублях","Курс евро в рублях"
"12/31/2021","74.2926","84.0695"
"12/30/2021","73.6514","83.2040"
"12/29/2021","73.4959","83.2194"
"12/28/2021","73.2329","82.9363"
"12/27/2021","73.1886","82.9300"
"12/26/2021","73.1886","82.9300"
"12/25/2021","73.1886","82.9300"
"12/24/2021","73.3583","83.1223"
"12/23/2021","73.7901","83.1541"
"12/22/2021","73.8206","83.3213"
"12/21/2021","74.2947","83.6187"
"12/20/2021","73.7330","83.5026"
"12/19/2021","73.7330","83.5026"
"12/18/2021","73.7330","83.5026"
"12/17/2021","73.5708","83.1571"
"12/16/2021","73.8510","83.2375"
"12/15/2021","73.4698","82.8299"
"12/14/2021","73.4107","82.8660"
"12/13/2021","73.6059","83.1158"
"12/12/2021","73.6059","83.1158"
"12/11/2021","73.6059","83.1158"
"12/10/2021","73.5998","83.3444"
"12/9/2021","73.8453","83.3640"
"12/8/2021","74.1399","83.7114"
"12/7/2021","73.6694","83.1138"
"12/6/2021","73.7426","83.2406"
"12/5/2021","73.7426","83.2406"
"12/4/2021","73.7426","83.2406"
"12/3/2021","74.0637","83.8105"
"12/2/2021","73.9746","83.8354"
"12/1/2021","74.8926","84.8234"
"11/30/2021","74.9818","84.4820"
"11/29/2021","75.5873","84.9526"
"11/28/2021","75.5873","84.9526"
"11/27/2021","75.5873","84.9526"
"11/26/2021","74.6004","83.6793"
"11/25/2021","74.3726","83.6394"
"11/24/2021","74.8327","84.1718"
"11/23/2021","73.4506","82.7715"
"11/22/2021","72.7617","82.5845"
"11/21/2021","72.7617","82.5845"
"11/20/2021","72.7617","82.5845"
"11/19/2021","72.6022","82.2583"
"11/18/2021","72.8228","82.3553"
"11/17/2021","72.5553","82.5244"
"11/16/2021","72.2724","82.7736"
"11/15/2021","71.8118","82.2173"
"11/14/2021","71.8118","82.2173"
"11/13/2021","71.8118","82.2173"
"11/12/2021","71.1964","81.6552"
"11/11/2021","70.6950","81.7870"
"11/10/2021","71.2866","82.6497"
"11/9/2021","71.3975","82.5355"
"11/8/2021","71.4876","82.8112"
"11/7/2021","71.4876","82.8112"
"11/6/2021","71.4876","82.8112"
"11/5/2021","71.4876","82.8112"
"11/4/2021","71.4876","82.8112"
"11/3/2021","71.4783","82.9577"
"11/2/2021","71.0863","82.1687"
"11/1/2021","70.5200","82.2898"
"10/31/2021","70.5200","82.2898"
"10/30/2021","70.5200","82.2898"
"10/29/2021","70.5207","81.8393"
"10/28/2021","69.8104","81.0289"
"10/27/2021","69.5526","80.7019"
"10/26/2021","70.1345","81.7418"
"10/25/2021","70.8623","82.4979"
"10/24/2021","70.8623","82.4979"
"10/23/2021","70.8623","82.4979"
"10/22/2021","70.9904","82.6399"
"10/21/2021","71.0555","82.6162"
"10/20/2021","70.9674","82.6841"
"10/19/2021","71.1714","82.4592"
"10/18/2021","71.2371","82.7276"
"10/17/2021","71.2371","82.7276"
"10/16/2021","71.2371","82.7276"
"10/15/2021","71.7846","83.3347"
"10/14/2021","71.8577","83.0028"
"10/13/2021","71.8801","83.0934"
"10/12/2021","71.6373","82.9273"
"10/11/2021","71.9882","83.1248"
"10/10/2021","71.9882","83.1248"
"10/9/2021","71.9882","83.1248"
"10/8/2021","72.2854","83.6053"
"10/7/2021","72.5682","83.9251"
"10/6/2021","72.5686","84.1723"
"10/5/2021","72.9239","84.6355"
"10/4/2021","72.9215","84.4577"
"10/3/2021","72.9215","84.4577"
"10/2/2021","72.9215","84.4577"
"10/1/2021","72.6642","84.3050"
"9/30/2021","72.7608","84.8755"
"9/29/2021","72.5083","84.6752"
"9/28/2021","72.6613","85.0355"
"9/27/2021","73.0081","85.6823"
"9/26/2021","73.0081","85.6823"
"9/25/2021","73.0081","85.6823"
"9/24/2021","72.7245","85.2040"
"9/23/2021","72.8806","85.4889"
"9/22/2021","73.2067","85.8568"
"9/21/2021","73.3315","85.8785"
"9/20/2021","72.5602","85.4614"
"9/19/2021","72.5602","85.4614"
"9/18/2021","72.5602","85.4614"
"9/17/2021","72.4329","85.3622"
"9/16/2021","72.8520","86.0674"
"9/15/2021","72.7171","85.9880"
"9/14/2021","73.0841","86.1150"
"9/13/2021","72.7600","86.1478"
"9/12/2021","72.7600","86.1478"
"9/11/2021","72.7600","86.1478"
"9/10/2021","73.1290","86.4677"
"9/9/2021","73.4421","86.9114"
"9/8/2021","73.1909","86.8922"
"9/7/2021","72.9538","86.5743"
"9/6/2021","72.8545","86.5366"
"9/5/2021","72.8545","86.5366"
"9/4/2021","72.8545","86.5366"
"9/3/2021","72.8491","86.2970"
"9/2/2021","73.1912","86.3949"
"9/1/2021","73.2781","86.6660"
